第一 部分 ： 寂静 的 春天 第一 章 ： 1 . 疯狂 年代|||PARTIE I : UN PRINTEMPS SILENCIEUX CHAPITRE 1 : LES ANNÉES DE FOLIE 
后 来 我 知道 ， 父亲 对 你 讲 了 善意 的 谎言 ， 他 与 爱因斯坦 只 有 过 一 次 短 得 不 能 再 短 的 交流 。|||Puis plus tard , j' ai appris que ton père t' avait raconté un mensonge bienveillant , car il n' avait en réalité échangé qu' un bref instant avec Einstein . 

那 是 l922年 11月 l 3日 上午 ， 他 陪 爱因斯坦 到 南京路 散步 ， 同行 的 好像 还有 上海 大学 校长 于右任 、 《 大公报 》 经理 曹谷冰 等 人 ， 经过 一个 路基 维修点 ， 爱因斯坦 在 一 名 砸 石子 的 小 工身 旁 停下 ， 默默 看 着 这个 在 寒风 中 衣衫 破烂 、 手 脸 污黑 的 男孩子 ， 问 你 父亲 ： 他 一 天 挣 多少 钱 ？|||C' était le matin du 13 novembre 1922 , alors qu' il marchait dans la rue de Nankin , accompagné , si je ne me trompe , de Yu Youren , président de l' université de Shanghai , de Cao Gubing , patron du journal Ta Kung Pao , et d' autres chercheurs … Tandis qu' ils passaient à côté d' un chantier de voirie , Einstein s' est arrêté à hauteur d' un ouvrier en train de briser des pierres , il a regardé en silence ce garçon aux mains et au visage sales simplement vêtu d' une chemise en loques dans le vent glacial de l' hiver . Il a demandé à ton père : " Combien gagne cet homme par jour ? " 

问 过 小工 后 ， 你 父亲 回答 ： 五 分 。|||Après avoir interrogé l' ouvrier , ton père a répondu : " Cinq centimes . " 

这 就 是 他 与 改变 世界 的 科学 大师 唯一 的 一 次 交流 ， 没有 物理学 ， 没有 相对论 ， 只有 冰冷 的 现实 。|||Ce fut le seul échange entre ton père et ce scientifique qui a changé la face du monde . Il n' a été question ni de physique ni de théorie de la relativité , simplement de la dureté de la réalité . 

据 你 父亲 说 ， 爱因斯坦 听到 他 的 回答 后 又 默默 地 站 在 那里 好 一会儿 ， 看 着 小工 麻木 的 劳作 ， 手里 的 烟斗 都 灭 了 也 没有 吸 一 口 。|||Selon ton père , Einstein est resté debout en silence encore un moment au même endroit en observant le labeur languissant du jeune garçon . La pipe qu' il tenait dans sa main s' est éteinte alors même qu' il n' en avait pas tiré une seule bouffée . 

你 父亲 在 回忆 这 件 事 后 ， 对 我 发出 这样 的 感叹 ： 在 中国 ， 任何 超脱 飞扬 的 思想 都 会 砰然 坠地 的 ， 现实 的 引力 太 沉重 了 。|||Lorsqu' il m' a raconté ce souvenir , ton père a lâché un soupir en disant : " En Chine , toutes les pensées libres et contestataires , après avoir pris leur envol , finissent toutes un jour ou l' autre par s' écraser sur le sol , car la gravité de la réalité est trop lourde . " 

“ 低下 头 ！ ” 一 名 男 红卫兵 大声 命令 。|||— Baisse la tête ! ordonna en hurlant un garde rouge . 

这 也 许 是 自己 的 学生 对 老师 一 丝 残存 的 同情 ， 被 批斗者 都 要 低头 ， 但 叶哲泰 要 这样 ， 那 顶 沉重 的 铁 高帽 就 会 掉 下去 ， 以后 只要 他 一直 低 着 头 ， 就 没有 理由 再 给 他 戴 上 。|||Ye Zhetai n' aurait pas su dire pourquoi , mais il avait senti dans cette injonction comme la manifestation d' un reliquat de sympathie d' un étudiant pour son professeur . Car en lui accordant de baisser la tête , le chapeau de métal tomberait et tant qu' on lui ordonnerait de maintenir la tête baissée , il n' y aurait aucune raison pour le forcer à porter à nouveau le chapeau . 

但 叶哲泰 仍 昂 着 头 ， 用 瘦弱 的 脖颈 支撑 着 那 束 沉重 的 钢铁 。|||Cependant Ye Zhetai garda la tête haute , soutenant à la force de son maigre cou le pesant couvre-chef . 

“ 低头 ！|||— Baisse la tête ! 

你 个 反动 顽固 分子 ！|||Espèce d' insolent réactionnaire ! 

！ ” 旁边 一 名 女 红卫兵 解 下 腰 间 的 皮带 朝 叶哲 泰挥 去 ， 黄铜带 扣 正 打 在 他 脑门 上 ， 在 那里 精确 地 留下 了 带 扣 的 形状 ， 但 很快 又 被 淤血 模糊 成 黑紫 的 一 团 。|||Une garde rouge qui se tenait à côté de lui se défit de sa ceinture de cuir et la lança en direction de Ye Zhetai . En heurtant son front , la boucle en laiton de la ceinture laissa une marque visible qui fut très vite escamotée par un gros hématome violacé . 

他 摇晃 了 一下 ， 又 站稳 了 。|||Ye Zhetai chancela , mais il parvint à retrouver son équilibre . 

一 名 男 红卫兵 质问 叶哲泰 ： “ 在 量子力学 的 教学 中 ， 你 也 散布 过 大量 的 反动 言论 ！ ”|||Un garde rouge reprit ses semonces : — Lors de vos cours sur la mécanique quantique , vous avez aussi propagé une grande quantité de contrevérités réactionnaires . 

说 完 对 绍琳 点点 头 ， 示意 她 继续 。|||Cela dit , il fit signe de la tête vers Shao Lin pour lui indiquer qu' elle pouvait poursuivre . 

绍琳 迫不及待 地 要 继续 下去 了 ， 她 必须 不 停顿 地 说 下去 ， 以 维持 自己 那 摇摇欲坠 的 精神 免 于 彻底 垮 掉 。|||Shao Lin n' attendait que cette occasion , elle devait continuer à parler sans relâche pour préserver son esprit d' un effritement total . 

“ 叶哲泰 ， 这 一 点 你 是 无法 抵赖 的 ！|||— Ye Zhetai , voilà un fait que tu ne pourras pas nier ! 

你 多次 向 学生 散布 反动 的 哥本哈根 解释 ！ ”|||Combien de fois as - tu distillé à tes étudiants l' hypothèse contre-révolutionnaire de l' école de Copenhague ? 

“ 这 毕竟 是 目前 公认 的 最 符合 实验 结果 的 解释 。 ”|||— Mais ce n' est ni plus ni moins que l' hypothèse reconnue comme étant la plus conforme à l' interprétation des résultats expérimentaux , rétorqua Ye Zhetai . 

叶哲泰 说 ， 在 受到 如此 重击 后 ， 他 的 口气 还 如此 从容 ， 这 让 绍琳 很 吃惊 ， 也 很 恐惧 。|||Le ton de sa voix , toujours aussi calme même après qu' il eut reçu un tel coup , emplit Shao Lin de stupeur et d' angoisse . 

“ 这个 解释 认为 ， 是 外部 的 观察 导致 了 量子 波函数 的 坍缩 ， 这 是 反动 唯心论 的 另 一 种 表现 形式 ， 而且 是 一 种 最 猖狂 的 表现 ！ ”|||— Cette interprétation postule qu' une observation extérieure conduit à une réduction du paquet d' ondes . Encore une autre manifestation outrageante de l' idéalisme réactionnaire ! 

“ 是 哲学 指引 实验 还是 实验 指引 哲学 ？ ”|||— Est -ce la philosophie qui doit guider l' expérience ou l' expérience qui doit guider la philosophie ? l' interrogea Ye Zhetai . 

叶哲泰 问道 ， 他 这 突然 的 反击 令 批判者 们 一时 不知所措 。|||Cette soudaine contre-attaque plongea un moment ses accusateurs dans l' embarras . 

“ 当然 是 正确 的 马克思主义 哲学 指引 科学 实验 ！ ” 一 名 男 红卫兵 说 。|||— C' est bien entendu la juste philosophie marxiste qui doit diriger les expériences scientifiques ! lança un garde rouge . 

“ 这 等于 说 正确 的 哲学 是 从 天上 掉 下 来 的 ， 这 反对 实践出真知 ， 恰恰 是 违背 马克思主义 对 自然界 的 认知 原 则 的 。 ”|||— Cela revient donc à dire que cette prétendue " philosophie " juste tombe du ciel . C' est donc remettre en cause l' idée que les connaissances véritables proviennent de la pratique , ce qui – soit dit en passant – va précisément à contre-courant des principes marxistes de la connaissance du monde naturel . 

绍琳 和 两 名 大学 红卫兵 无言以对 ， 与 中学 和 社会 上 的 红卫兵 不 同 ， 他们 不 可能 一点儿 道理 也 不 讲 。|||Ni Shao Lin ni ses deux étudiants gardes rouges n' étaient en mesure de justifier convenablement ce paradoxe . Contrairement aux jeunes collégiens gardes rouges , ils ne pouvaient pas riposter en faisant fi de toute logique . 

但 来 自 附中 的 四 位 小将 自有 她们 “ 无坚不摧 ” 的 革命 方式 ， 刚才 动手 的 那个 女孩儿 又 狠 抽 了 叶哲泰 一 皮带 ， 另外 三 个 女孩子 也 都 分别 抡 起 皮带 抽 了 一下 ， 当 同伴 革命 时 ， 她们 必须 表现 得 更 革命 ， 至少 要 同样 革命 。|||Mais ce n' était pas le cas des quatre jeunes filles , persuadées que la révolution ne devait souffrir aucune attaque . La fille qui venait tout juste de fouetter Ye Zhetai lui asséna un nouveau coup de ceinture . Ce fut ensuite le tour des trois autres filles de le cingler de la même manière , car dès lors qu' un camarade faisait la révolution , on se devait d' être encore plus révolutionnaire , ou à tout le moins autant . 

两 名 男红卫兵 没有 过问 ， 他们 要 是 现在 管 这 事 ， 也 有 不 革命 的 嫌疑 。|||Les deux garçons ne bronchèrent pas . S' ils étaient intervenus , on les aurait suspectés à leur tour d' être des contre-révolutionnaires . 

“ 你 还 在 教学 中 散布 宇宙 大 爆炸 理论 ， 这 是 所有 科学 理论 中 最 反动 的 一个 ！ ” 一 名 男 红卫兵 试图 转移 话题 。|||— Durant vos cours , vous avez également propagé la théorie du Big Bang , certainement la théorie scientifique la plus réactionnaire de l' univers ! dit un garde rouge en essayant de changer de sujet . 

“ 也 许 以后 这个 理论会 被 推翻 ， 但 本世纪 的 两 大 宇宙学 发现 ： 哈 勃红移 和 3 K 宇宙 背景 辐射 ， 使 大 爆炸 学说 成为 目前 为止 最 可信 的 宇宙 起源 理论 。 ”|||— Peut - être cette théorie sera -t -elle retoquée dans le futur , mais les deux grandes découvertes astronomiques de notre siècle , la loi de Hubble et le fond diffus cosmologique , font du Big Bang la théorie la plus crédible de l' origine de l' univers . 

“ 胡说 ！ ” 绍琳 大 叫 起 来 ， 又 接着 滔滔不绝 地 讲 起 了 宇宙 大 爆炸 ， 自然 不 忘 深刻 地 剖析 其 反动 本质 。|||— Foutaises ! s' égosilla Shao Lin , puis elle se lança dans un interminable réquisitoire contre la théorie du Big Bang , en n' oubliant naturellement pas de disséquer en profondeur sa nature réactionnaire . 

但 这 理论 的 超级 新奇 吸引 了 四 个 小 女孩儿 中 最 聪明 的 那 一个 ， 她 不由自主 地 问道 ： “ 连 时间 都 是 从 那个 奇点 开始 的 ！ ？|||Cependant le caractère parfaitement insolite de cette théorie intrigua la plus sagace des jeunes gardes rouges , qui ne put s' empêcher de demander : — Mais alors le temps aussi a pris naissance avec cette singularité initiale ? 

那 奇点 以前 有什 么 ？ ”|||Qu' y avait -il avant la singularité ? 

“ 什 么 都 没有 。 ” 叶哲泰 说 ， 像 回答 任何 一个 小 女孩儿 的 问题 那样 ， 他 转头 慈祥 地 看 着 她 ， 铁 高帽 和 已 受 的 重伤 ， 使 他 这 动作 很 艰难 。|||— Rien du tout , dit Ye Zhetai , comme s' il répondait à une question posée par une petite fille . Il tourna la tête et la regarda avec bienveillance , mais son chapeau en métal et ses blessures rendirent ce mouvement très difficile . 

“ 什 么 … … 都 没有 ？|||— Comment ? Rien ? 

！ 反动 ！ 反动 透顶 ！ ！ ”|||Mais c' est réactionnaire , absolument réactionnaire ! hurla la jeune fille avec fureur . 

那 女孩儿 惊恐万状 地 大 叫 起 来 ， 她 不知所措 地 转向 绍琳 寻求 帮助 ， 立刻 得到 了 。|||Ne sachant quoi répondre d' autre , elle se tourna vers Shao Lin pour solliciter un soutien qu' elle obtint aussitôt . 

“ 这 给 上帝 的 存在 留下 了 位置 。 ” 绍琳 对 女孩儿 点点 头 提示 说 。|||— Cette hypothèse laisse une place pour l' existence de Dieu , suggéra Shao Lin à la jeune fille en hochant la tête . 

小 红卫兵 那 茫然 的 思路 立刻 找到 了 立脚点 ， 她 举起 紧握 皮带 的 手 指 着 叶哲泰 ， “ 你 ， 是 想 说 有 上帝 ？ ！ ”|||La jeune garde rouge , encore confuse , se trouva ragaillardie et menaça Ye Zhetai avec sa ceinture : — Vous … prétendez que Dieu existe ? 

“ 我 不 知道 。 ”|||— Je n' en sais rien . 

“ 你 说 什 么 ！ ”|||— Que dites -vous ? 

“ 我 是 说 不 知道 ， 如果 上帝 是 指 宇宙 之外 的 超意识 的 话 ， 我 不 知道 它 是 不 是 存在 ； 正反 两 方面 ， 科学 都 没 给 出 确实 的 证据 。 ”|||— Je dis que je n' en sais rien . Si par Dieu , vous entendez une sorte de superconscience au-delà de l' univers , alors je n' ai aucune idée de son existence . Que l' on soit pour ou contre , la science ne fournit pour l' instant aucune preuve tangible . 

其实 ， 在 这 噩梦 般 的 时刻 ， 叶哲泰 已 倾向 于 相信 它 不 存在 了 。|||Le cauchemar qu' il était en train de vivre en ce moment faisait plutôt pencher Ye Zhetai vers la conviction de l' inexistence de Dieu . 

这 句 大逆不道 的 话 在 整个 会场 引起 了 骚动 ， 在 台上 一 名 红卫兵 的 带领 下 ， 又 爆发 了 一 波 波 的 口号声 。|||Ces propos réactionnaires outranciers soulevèrent une indignation générale sur le terrain de sport et , sous l' impulsion d' un garde rouge situé juste sous l' estrade , retentirent à nouveau des salves de slogans . 

“ 打倒 反动 学术 权威 叶哲泰 ！|||— À bas le pouvoir scientifique réactionnaire de Ye Zhetai ! 

！ ” “ 打倒 一切 反动 学术 权威 ！ ！ ”|||— À bas les autorités scientifiques réactionnaires ! 

“ 打倒 一切 反动 学说 ！|||— À bas les doctrines réactionnaires ! 

！ ” … …|||— Dieu n' existe pas ! 

“ 上帝 是 不 存在 的 ， 一切 宗教 ， 都 是 统治阶级 编造 出 来 的 麻痹 人民 的 精神 工具 ！ ” 口号 平息 后 ， 那个 小 女孩儿 大声 说 。 鬼吹灯 小说|||Les religions sont des subterfuges créés par les classes bourgeoises pour museler l' esprit des classes laborieuses ! cria la jeune fille une fois que les slogans se furent apaisés . 
