第一部分：寂静的春天 第一章：1.疯狂年代	PARTIE I:UN PRINTEMPS SILENCIEUX CHAPITRE 1:LES ANNÉES DE FOLIE
绍琳和两名大学红卫兵无言以对，与中学和社会上的红卫兵不同，他们不可能一点儿道理也不讲。	Ni Shao Lin ni ses deux étudiants gardes rouges n'étaient en mesure de justifier convenablement ce paradoxe. Contrairement aux jeunes collégiens gardes rouges, ils ne pouvaient pas riposter en faisant fi de toute logique.
但来自附中的四位小将自有她们“无坚不摧”的革命方式，刚才动手的那个女孩儿又狠抽了叶哲泰一皮带，另外三个女孩子也都分别抡起皮带抽了一下，当同伴革命时，她们必须表现得更革命，至少要同样革命。	Mais ce n'était pas le cas des quatre jeunes filles, persuadées que la révolution ne devait souffrir aucune attaque. La fille qui venait tout juste de fouetter Ye Zhetai lui asséna un nouveau coup de ceinture. Ce fut ensuite le tour des trois autres filles de le cingler de la même manière, car dès lors qu'un camarade faisait la révolution, on se devait d'être encore plus révolutionnaire, ou à tout le moins autant.
两名男红卫兵没有过问，他们要是现在管这事，也有不革命的嫌疑。	Les deux garçons ne bronchèrent pas. S'ils étaient intervenus, on les aurait suspectés à leur tour d'être des contre-révolutionnaires.
“你还在教学中散布宇宙大爆炸理论，这是所有科学理论中最反动的一个！” 一名男红卫兵试图转移话题。	— Durant vos cours, vous avez également propagé la théorie du Big Bang, certainement la théorie scientifique la plus réactionnaire de l'univers ! dit un garde rouge en essayant de changer de sujet.
“也许以后这个理论会被推翻，但本世纪的两大宇宙学发现：哈勃红移和3K宇宙背景辐射，使大爆炸学说成为目前为止最可信的宇宙起源理论。”	— Peut-être cette théorie sera-t-elle retoquée dans le futur, mais les deux grandes découvertes astronomiques de notre siècle, la loi de Hubble et le fond diffus cosmologique, font du Big Bang la théorie la plus crédible de l'origine de l'univers.
“胡说！” 绍琳大叫起来，又接着滔滔不绝地讲起了宇宙大爆炸，自然不忘深刻地剖析其反动本质。	— Foutaises ! s'égosilla Shao Lin, puis elle se lança dans un interminable réquisitoire contre la théorie du Big Bang, en n'oubliant naturellement pas de disséquer en profondeur sa nature réactionnaire.
但这理论的超级新奇吸引了四个小女孩儿中最聪明的那一个，她不由自主地问道：“连时间都是从那个奇点开始的！ ？	Cependant le caractère parfaitement insolite de cette théorie intrigua la plus sagace des jeunes gardes rouges, qui ne put s'empêcher de demander : — Mais alors le temps aussi a pris naissance avec cette singularité initiale ?
那奇点以前有什么？”	Qu'y avait-il avant la singularité ?
“什么都没有。” 叶哲泰说，像回答任何一个小女孩儿的问题那样，他转头慈祥地看着她，铁高帽和已受的重伤，使他这动作很艰难。	— Rien du tout, dit Ye Zhetai, comme s'il répondait à une question posée par une petite fille. Il tourna la tête et la regarda avec bienveillance, mais son chapeau en métal et ses blessures rendirent ce mouvement très difficile.
“什么……都没有？	— Comment ? Rien ?
！ 反动！ 反动透顶！ ！”	Mais c'est réactionnaire, absolument réactionnaire ! hurla la jeune fille avec fureur.
那女孩儿惊恐万状地大叫起来，她不知所措地转向绍琳寻求帮助，立刻得到了。	Ne sachant quoi répondre d'autre, elle se tourna vers Shao Lin pour solliciter un soutien qu'elle obtint aussitôt.
“这给上帝的存在留下了位置。” 绍琳对女孩儿点点头提示说。	— Cette hypothèse laisse une place pour l'existence de Dieu, suggéra Shao Lin à la jeune fille en hochant la tête.
小红卫兵那茫然的思路立刻找到了立脚点，她举起紧握皮带的手指着叶哲泰，“你，是想说有上帝？ ！”	La jeune garde rouge, encore confuse, se trouva ragaillardie et menaça Ye Zhetai avec sa ceinture : — Vous… prétendez que Dieu existe ?
“我不知道。”	— Je n'en sais rien.
“你说什么！”	— Que dites-vous ?
“我是说不知道，如果上帝是指宇宙之外的超意识的话，我不知道它是不是存在；正反两方面，科学都没给出确实的证据。”	— Je dis que je n'en sais rien. Si par Dieu, vous entendez une sorte de superconscience au-delà de l'univers, alors je n'ai aucune idée de son existence. Que l'on soit pour ou contre, la science ne fournit pour l'instant aucune preuve tangible.
其实，在这噩梦般的时刻，叶哲泰已倾向于相信它不存在了。	Le cauchemar qu'il était en train de vivre en ce moment faisait plutôt pencher Ye Zhetai vers la conviction de l'inexistence de Dieu.
这句大逆不道的话在整个会场引起了骚动，在台上一名红卫兵的带领下，又爆发了一波波的口号声。	Ces propos réactionnaires outranciers soulevèrent une indignation générale sur le terrain de sport et, sous l'impulsion d'un garde rouge situé juste sous l'estrade, retentirent à nouveau des salves de slogans.
“打倒反动学术权威叶哲泰！	— À bas le pouvoir scientifique réactionnaire de Ye Zhetai !
！” “打倒一切反动学术权威！ ！”	— À bas les autorités scientifiques réactionnaires !
“打倒一切反动学说！	— À bas les doctrines réactionnaires !
！” ……	— Dieu n'existe pas !
“上帝是不存在的，一切宗教，都是统治阶级编造出来的麻痹人民的精神工具！” 口号平息后，那个小女孩儿大声说。 鬼吹灯小说	Les religions sont des subterfuges créés par les classes bourgeoises pour museler l'esprit des classes laborieuses ! cria la jeune fille une fois que les slogans se furent apaisés.
“这种看法是片面的。” 叶哲泰平静地说。	— C'est un point de vue à sens unique, répliqua froidement Ye Zhetai.
恼羞成怒的小红卫兵立刻做出了判断，对于眼前这个危险的敌人，一切语言都无意义了。	Blessée dans son amour-propre, la garde rouge émit un jugement radical et sans appel, estimant qu'aucun discours ne pourrait jamais faire changer d'avis le dangereux ennemi qui se dressait devant elle.
	Armée de sa ceinture, elle se précipita sur lui, aussitôt imitée par ses trois comparses.
她抡起皮带冲上去，她的三个小同志立刻跟上，叶哲泰的个子很高，这四个十四岁的女孩儿只能朝上抡皮带才能打到他那不肯低下的头，在开始的几下打击后，他头上能起一定保护作用的铁高帽被打掉了，接下来带铜扣的宽皮带如雨点般打在他的头上和身上——他终于倒下了，这鼓舞了小红卫兵们，她们更加投入地继续着这“崇高”的战斗，她们在为信念而战，为理想而战，她们为历史给予自己的光辉使命所陶醉，为自己的英勇而自豪……	Mais comme Ye Zhetai était de grande taille, les quatre gamines de quatorze ans durent faire de grands moulinets pour atteindre la tête que Ye refusait de baisser. Après quelques coups, le chapeau de métal qui lui servait malgré tout de protection tomba et dès lors, les boucles en laiton des larges ceintures s'abattirent sur lui comme un déluge. Ye Zhetai finit par s'écrouler sur le sol. Enhardies par cette issue, les jeunes gardes rouges se jetèrent corps et âme dans ce glorieux combat, persuadées de lutter pour des idées, pour des idéaux, enivrées par la perspective de participer à une mission historique, fières de leur acte héroïque…
“最高指示：要文斗不要武斗！” 叶哲泰的两名学生终于下定了决心，喊出了这句话，两人同时冲过去，拉开了已处于半疯狂状态的四个小女孩儿。	— Le président Mao nous enseigne de combattre par le verbe et non par la violence ! se décidèrent enfin à crier les deux étudiants de Ye Zhetai, et ils se précipitèrent pour écarter les quatre filles, devenues à moitié folles.
但已经晚了，物理学家静静地躺在地上，半睁的双眼看着从他的头颅上流出的血迹，疯狂的会场瞬间陷入了一片死寂，那条血迹是唯一在动的东西，它像一条红蛇缓慢地蜿蜒爬行着，到达台沿后一滴滴地滴在下面一个空箱子上，发出有节奏的/”哒哒/”声，像渐行渐远的脚步。	Mais il était déjà trop tard, le physicien était allongé, immobile, sur le sol. Ses yeux à moitié clos semblaient fixer le filet de sang qui s'écoulait de son crâne. L'assistance, se figea en un instant dans un silence de mort. La seule chose en mouvement était ce filet de sang qui rampait en ondulant tel un serpent jusqu'au bord de l'estrade où il tombait goutte à goutte et en rythme dans un carton vide, comme des bruits de pas, tantôt proches, tantôt éloignés.
一阵怪笑声打破了寂静，这声音是精神已彻底崩溃的绍琳发出的，听起来十分恐怖。	Un rire mystérieux, à glacer le sang, brisa le silence. Il semblait provenir de l'esprit déjà disloqué de Shao Lin.
人们开始离去，最后发展成一场大溃逃，每个人想都尽快逃离这个地方。 会场很快空了下来，只剩下一个姑娘站在台下。	Certains commencèrent à quitter les lieux et ce fut bientôt la débandade. Tous fuyaient la scène le plus rapidement possible, jusqu'à ce qu'il ne reste plus qu'une jeune fille sous l'estrade.
她是叶哲泰的女儿叶文洁。	C'était Ye Wenjie, la fille de Ye Zhetai.
当那四个女孩儿施暴夺去父亲生命时，她曾想冲上台去，但身边的两名老校工死死抓住她，并在耳边低声告诉她别连自己的命也不要了，当时会场已经处于彻底的癫狂，她的出现只会引出更多的暴徒。	Lorsque les quatre filles s'en étaient prises à son père, elle avait voulu se ruer sur l'estrade, mais deux vieux concierges de l'école qui se tenaient debout à ses côtés l'en avaient empêchée en lui glissant à l'oreille qu'elle aussi risquait de perdre la vie. Son apparition n'aurait fait qu'exacerber la violence d'une scène déjà guidée par la folie.
